,省,市,新增确诊,累计确诊,死亡,治愈,死亡率,治愈率
121,黑龙江,哈尔滨,0,546,4,507,0.73,92.86
122,黑龙江,齐齐哈尔,0,45,1,43,2.22,95.56
123,黑龙江,牡丹江,0,36,0,36,0.00,100.00
124,黑龙江,境外输入,0,406,0,406,0.00,100.00
125,黑龙江,绥化,0,537,4,533,0.74,99.26
126,黑龙江,地区待确认,0,2,0,2,0.00,100.00
127,黑龙江,大庆,0,29,1,28,3.45,96.55
128,黑龙江,黑河,0,295,0,295,0.00,100.00
129,黑龙江,大兴安岭,0,3,0,3,0.00,100.00
130,黑龙江,双鸭山,0,52,3,49,5.77,94.23
131,黑龙江,鹤岗,0,5,0,5,0.00,100.00
132,黑龙江,七台河,0,17,0,17,0.00,100.00
133,黑龙江,鸡西,0,46,0,46,0.00,100.00
134,黑龙江,伊春,0,1,0,1,0.00,100.00
135,黑龙江,佳木斯,0,15,0,15,0.00,100.00
136,山东,境外输入,1,233,0,200,0.00,85.84
137,山东,潍坊,0,44,0,44,0.00,100.00
138,山东,烟台,0,58,0,58,0.00,100.00
139,山东,青岛,0,80,1,79,1.25,98.75
140,山东,济宁,0,260,0,260,0.00,100.00
141,山东,济南,0,47,0,47,0.00,100.00
142,山东,淄博,0,30,1,29,3.33,96.67
143,山东,枣庄,0,24,0,24,0.00,100.00
144,山东,日照,0,30,0,30,0.00,100.00
145,山东,威海,0,38,1,37,2.63,97.37
146,山东,临沂,0,49,0,49,0.00,100.00
147,山东,德州,0,37,2,35,5.41,94.59
148,山东,聊城,0,38,0,38,0.00,100.00
149,山东,滨州,0,15,0,15,0.00,100.00
150,山东,菏泽,0,18,0,18,0.00,100.00
151,山东,泰安,0,35,2,33,5.71,94.29
152,四川,境外输入,0,709,0,677,0.00,95.49
153,四川,成都,0,189,3,171,1.59,90.48
154,四川,自贡,0,10,0,9,0.00,90.00
155,四川,遂宁,0,17,0,17,0.00,100.00
156,四川,宜宾,0,13,0,13,0.00,100.00
157,四川,泸州,0,25,0,25,0.00,100.00
158,四川,绵阳,0,23,0,23,0.00,100.00
159,四川,雅安,0,8,0,8,0.00,100.00
160,四川,德阳,0,18,0,18,0.00,100.00
161,四川,攀枝花,0,16,0,16,0.00,100.00
162,四川,广元,0,6,0,6,0.00,100.00
163,四川,凉山,0,13,0,13,0.00,100.00
164,四川,甘孜,0,78,0,78,0.00,100.00
165,四川,阿坝,0,1,0,1,0.00,100.00
166,四川,资阳,0,4,0,4,0.00,100.00
167,四川,眉山,0,8,0,8,0.00,100.00
168,四川,巴中,0,24,0,24,0.00,100.00
169,四川,达州,0,42,0,42,0.00,100.00
170,四川,广安,0,30,0,30,0.00,100.00
171,四川,南充,0,39,0,39,0.00,100.00
172,四川,乐山,0,3,0,3,0.00,100.00
173,四川,内江,0,22,0,22,0.00,100.00
174,四川,地区待确认,0,0,0,16,0.00,0.00
175,辽宁,大连,0,470,0,444,0.00,94.47
176,辽宁,境外输入,0,150,0,146,0.00,97.33
177,辽宁,丹东,0,11,0,11,0.00,100.00
178,辽宁,地区待确认,0,0,0,0,0.00,0.00
179,辽宁,营口,0,11,0,11,0.00,100.00
180,辽宁,铁岭,0,8,0,8,0.00,100.00
